-29,-99,-90
-12,45,-90
-30,-91,-90
-32,26,-90
-16,-92,-90
-22,25,-90
-22,-97,-90
-22,28,-90
-22,-98,-90
-45,8,-90
-36,-104,-90
-28,16,-90
-22,-88,-90
-26,35,-90
-29,-94,-90
-21,33,-90
-21,-92,-90
-22,47,-90
-21,-101,-90
-42,26,-90
-21,-99,-90
-16,54,-90
-29,-104,-90
-22,30,-90
-15,-94,-90
-14,37,-90
-26,-99,-90
-32,32,-90
-28,-98,-90
-12,56,-90
-15,-95,-90
-29,28,-90
-28,-95,-90
-21,39,-90
-26,-92,-90
-26,35,-90
-21,-91,-90
-23,25,-90
-26,-101,-90
-21,40,-90
-39,-104,-90
-39,23,-90
-29,-97,-90
-18,52,-90
-21,-99,-90
-21,25,-90
-18,-92,-90
-35,25,-90
-37,-106,-90
-15,9,-90
-15,-92,-90
-25,14,-90
-29,-97,-90
-22,15,-90
-25,-94,-90
-23,22,-90
-23,-98,-90
-18,22,-90
-32,-106,-90
-16,23,-90
-21,-94,-90
-26,12,-90
-25,-113,-90
-39,4,-90
-22,-95,-90
-18,22,-90
-29,-111,-90
-15,18,-90
-33,-104,-90
-30,16,-90
-18,-97,-90
-14,15,-90
-32,-108,-90
-14,14,-90
-30,-94,-90
-26,8,-90
-28,-97,-90
-21,4,-90
-29,-95,-90
-25,9,-90
-23,-95,-90
-16,12,-90
-16,-85,-90
-22,8,-90
-29,-97,-90
-23,16,-90
-18,-82,-90
-25,8,-90
-15,-88,-90
-35,8,-90
-16,-88,-90
-23,14,-90
-22,-91,-90
-32,12,-90
-22,-97,-90
-26,15,-90
-28,-98,-90
-40,5,-90
-40,-94,-90
-28,12,-90
-11,-91,-90
-28,16,-90
-40,-105,-90
-15,12,-90
-23,-91,-90
-30,4,-90
-21,-87,-90
-25,19,-90
-32,-91,-90
-32,16,-90
-16,-87,-90
-32,2,-90
-22,-94,-90
-21,12,-90
-32,-104,-90
-28,8,-90
-11,-84,-90
-21,8,-90
-26,-88,-90
-26,8,-90
-9,-92,-90
-28,14,-90
-12,-92,-90
-18,14,-90
-4,-78,-90
-22,16,-90
-26,-94,-90
-30,12,-90
-23,-99,-90
-23,19,-90
-21,-90,-90
-29,5,-90
-28,-105,-90
-39,9,-90
-25,-91,-90
-33,15,-90
-25,-92,-90
-26,9,-90
-30,-98,-90
-25,8,-90
-33,-101,-90
-32,2,-90
-23,-88,-90
-21,22,-90
-26,-95,-90
-30,7,-90
-30,-97,-90
-33,8,-90
-23,-99,-90
-15,16,-90
-36,-99,-90
-29,15,-90
-25,-98,-90
-22,23,-90
-29,-99,-90
-18,8,-90
-23,-92,-90
-23,9,-90
